node_id,name,in_corpus,case,year
1072049,"Company
v. Commissioner of Income-tax, Bombay",True,The_New_Piecegoods_Bazar_Co_vs_The_Commissioner_Of_Income_Tax_Bombay_on_26_May_1950,1950.0
27335343,"Bombay  Finance	Act,
1932",False,,
7651207,"City of Bombay Municipal Act, 1888",False,,
1369261,s. 9,False,,
155925955,"Bombay Finance Act, 1939",False,,
492579,s.9(1) (iv),False,,
1869908,"Dudhuria v. Commissioner of Income-tax, Calcutta",False,,
1692812,"Commissioner  of Income-tax,  Bombay  v. Mahomedbhoy
Rowji",False,,
906566,Gappumal Kanhaiya Lal v. Commissioner of  Income-tax,False,,
114118,section 146,False,,
1951329,section	154,False,,
1117531,Section	 156,False,,
1331148,Section 167,False,,
1004857,"sections
160",False,,
960601,162,False,,
1128182,sections 163,False,,
1721837,168,False,,
181948510,Section 197,False,,
74762081,section 212,False,,
90465563,section  212,False,,
115845812,Municipal Act,False,,
1339020,"Mamad  Keyi  v.  Commissioner  of	 Income-tax,
Madras",False,,
1512527,Bombay v. Mahomedb-,False,,
353083,,True,The_State_Of_Tripura_vs_The_Province_Of_East_Bengalunion_Of_on_20_December_1950,1950.0
97116359,Section 12,False,,
67624938,section 13,False,,
160858561,67,False,,
1974848,Nath Gupta v. The Province of Bihar,False,,
39040642,Sec.  109,False,,
869781,,True,The_State_Of_Tripura_vs_The_Province_Of_East_Bengalunion_Of_on_4_December_1950,1950.0
1015123,Art. 4--,False,,
1481519,Art. 12	 (2),False,,
263777,Art. 10 (2)	 (a),False,,
39940368,s. 4,False,,
202193,Art. 10 (2.),False,,
6144210,s. 9,False,,
184839265,s. 32(1),False,,
179446748,s. 53 (1),False,,
332955,Raleigh Investment Co. Ltd. v.  Governor-General,False,,
15764040,article 10 (2) (c),False,,
149719597,section 205	 (1),False,,
101796399,section 12,False,,
98725211,s. 12 (2),False,,
31209600,s. 10(2),False,,
197705240,s. 13 (2),False,,
91479258,s. 179,False,,
160683290,sections 17,False,,
101601204,18,False,,
151406065,19,False,,
30239472,Section 65,False,,
51434435,"section
32",False,,
1351947,"Ross
v.  Secretary of State",False,,
113996664,section67,False,,
645946,section 67,False,,
49825840,section 30,False,,
262260,Secretary  of State v. Meyyappa  Chetti-,False,,
42364846,section 2,False,,
989492,article 4 (1),False,,
318251,Legal Proceedings Act,False,,
691208,articles  8,False,,
611046,,True,Yeswant_Deorao_Deshmukh_vs_Walchand_Ramchand_Kothari_on_1_December_1950,1950.0
1317393,Limitation	Act,False,,
354660,"Art.
182--",False,,
85586,s. 18-,False,,
1865420,Art. 181:,False,,
642645,section 14 (2),False,,
