overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,seed_type,pagerank,betweenness,local_betweenness,bridge_score,in_degree,out_degree,pr_pct,bw_pct,local_bw_pct,composite_score,landmark
358,27098883,"Union Carbide Corporation Etc. Etc vs Union Of India Etc. Etc on 3 October, 1991",1991.0,https://indiankanoon.org/doc/27098883/,case,0,C0_S12,expanded,0.0002922626775932049,0.0017540016806302486,0.0017256459326432892,0.5217391304347826,12,11,0.8823410696266397,0.9412714429868819,0.6409687184661957,0.8576387487386479,False
359,1345754,Article 235--,,https://indiankanoon.org/doc/1345754/,reference,0,C0_S6,expanded,0.00044018237416432724,0.0005892050432283407,0.0042069361140180265,0.3333333333333333,21,0,0.9406659939455095,0.8286579212916246,0.7489404641775984,0.8575176589303735,False
360,1532286,"Chimanlal Hargovinddas vs Special Land Acquisition Officer, ... on 21 July, 1988",1988.0,https://indiankanoon.org/doc/1532286/,case,6,C6_S2,keyword,0.00019683392353561332,0.0017631123916406269,0.009390681664329593,0.4,7,3,0.7737638748738648,0.941473259334006,0.8559031281533804,0.8572754793138244,False
361,1969682,Samatha_vs_State_Of_Andhra_Pradesh_And_Ors_on_11_July_1997,1997.0,https://indiankanoon.org/doc/1969682/,case,0,C0_S15,expanded,0.0001612540824059599,0.008489579272195675,0.01489153699976659,0.5303030303030303,7,59,0.7021190716448032,0.9913218970736629,0.8990918264379415,0.8571947527749748,False
362,991863,"Khatri Hotels P.Ltd.& Anr vs Union Of India & Anr on 9 September, 2011",2011.0,https://indiankanoon.org/doc/991863/,case,5,C5_S3,expanded,0.00017010362019328739,0.0018035027347406852,0.027764673026489946,0.5,4,8,0.725731584258325,0.9438950554994955,0.9465186680121089,0.85715438950555,False
363,48799,Delhi Development Authority v.   Bali Ram Sharma and Ors.,,https://indiankanoon.org/doc/48799/,reference,6,C6_S2,keyword,0.0005812426854977803,0.0006376435932742145,0.0022871216655182673,0.4,5,0,0.9687184661957619,0.8369323915237135,0.6722502522704339,0.856710393541877,False
364,501542,"Delhi Administration vs Gurdip Singh Uban And Ors. Etc on 18 August, 2000",2000.0,https://indiankanoon.org/doc/501542/,case,2,C2_S6,expanded,0.0002949912528281897,0.0009177557008922838,0.004142452288064663,0.3157894736842105,10,9,0.8841574167507568,0.8839556004036327,0.7471241170534814,0.8566700302724521,False
365,549621,"Maharashtra State Financial ... vs Jaycee Drugs And Pharmaceuticals Pvt. ... on 19 February, 1991",1991.0,https://indiankanoon.org/doc/549621/,case,1,C1_S9,expanded,0.0003565290361627287,0.0005294580321694838,0.007153086378165352,0.38461538461538464,5,8,0.9160443995963673,0.8135216952573159,0.8238143289606458,0.8565893037336025,False
366,1979435,Bondu Ramaswamy v. Bangalore Development Authority and Others,2010.0,https://indiankanoon.org/doc/1979435/,case,2,C2_S5,keyword,0.0001751098518343785,0.001691042670146523,0.021725952794818853,0.28,7,18,0.7364278506559031,0.9382441977800202,0.932593340060545,0.8563874873864784,False
367,337342,"Nagpur Improvement Trust And Another vs Vithal Rao And Others on 11 December, 1972",1972.0,https://indiankanoon.org/doc/337342/,case,2,C2_S2,keyword,0.0002517947336171559,0.0013885557588638189,0.004109851091685217,0.46153846153846156,19,7,0.8439959636730575,0.9239152371342079,0.7455095862764884,0.8562663975782039,False
