doc_id,case,community,subcommunity,out_citations,in_citations
172073149,"Kishore Samrite vs State Of U.P. & Ors on 18 October, 2012",0,1,7,2
241064,241064,0,1,0,1
157802562,"Haradhan Das vs State Of West Bengal on 13 December, 2012",0,1,1,0
1386353,"The Superintendent, Central ... vs Ram Manohar Lohia on 21 January, 1960",0,1,1,7
1214330,"Damyanti Naranga vs The Union Of India And Others on 23 February, 1971",0,1,2,5
101366341,Board Of Control For Cricket vs Cricket Aasociation Of Bihar & Ors,0,1,6,0
1364215,1364215,0,1,0,6
554839,"State Of Madras vs V.G. Row.Union Of India & State ... on 31 March, 1952",0,1,0,54
123572492,"Man Singh And Anr. vs State Of Madhya Pradesh on 31 March, 1993",0,1,0,1
146351380,"Rattiram & Ors vs State Of M.P.Tr.Insp.Of Police on 17 February, 2012",0,1,5,6
953755,"Dalbir Singh And Others vs The State Of Punjab on 6 February, 1962",0,1,1,0
104831999,"Maghavendra Pratap Singh @ Pankaj Singh vs The State Of Chhattisgarh on 24 April, 2023",0,1,1,0
18303067,Shafin Jahan vs Asokan K.M.,0,1,5,2
913340,"Jai Prakash And Others vs Union Of India on 19 March, 1997",0,1,1,0
97017195,Google India Private Ltd vs M/S. Visakha Industries,0,1,3,0
1525571,"Sri Indra Das vs State Of Assam on 10 February, 2011",0,1,7,3
1973405,"Kerala S.M.T.Fed vs Kerala T.B.O. Assn on 23 June, 1994",0,1,1,0
66588430,"Central Bureau Of Investigation (Cbi) vs Thommandru Hannah Vijayalakshmi @ T.H. ... on 8 October, 2021",0,1,10,4
1681170,1681170,0,1,2,5
91938676,Justice K.S.Puttaswamy(Retd) And Anr. vs Union Of India And Ors.,0,1,62,20
1179783,"R. M. Malkani vs State Of Maharashtra on 22 September, 1972",0,1,2,5
42184625,Joseph Shine vs Union Of India,0,1,17,3
109582282,Essar Steel Ltd vs Union Of India & Ors,0,1,12,1
125596,"Bennett Coleman & Co. & Ors vs Union Of India & Ors on 30 October, 1972",0,1,9,24
67441930,"Oma @ Omprakash & Anr vs State Of Tamilnadu on 11 December, 2012",0,1,6,1
14222497,"Sk Nausad Rahaman vs Union Of India on 10 March, 2022",0,1,2,0
1510944,"C.E.S.C. Ltd. Etc vs Subhash Chandra Bose And Ors on 15 November, 1991",0,1,2,4
190567716,"Nitisha vs Union Of India on 25 March, 2021",0,1,5,2
108728085,Dr. Subhash Kashinath Mahajan vs The State Of Maharashtra,0,1,13,7
542988,"P.Rathinam vs Union Of India on 26 April, 1994",0,1,6,7
1228316,1228316,0,1,16,0
871062,871062,0,1,2,6
1484835,"Printers (Mysore) Ltd vs Asstt. Commercial Tax Officer on 7 February, 1994",0,1,1,2
746065,"Prem Singh vs State Of Haryana on 2 September, 2011",0,1,0,1
408590,"Jaikishan Dass Mull vs Luchhiminarain Kanoria And Co. on 3 May, 1974",0,1,1,0
64256,"Oil And Natural Gas Commission And Anr vs Association Of Natural Gas Consuming ... on 4 May, 1990",0,1,2,4
1812876,"T. Suthenthiraraja,P. ... vs State By D.S.P., Cbi, Sit, Chennai on 8 October, 1999",0,1,5,2
