doc_id,case,community,subcommunity,out_citations,in_citations
1830726,"The Board Of Trustees, Ayurvedic ... vs The State Of Delhi And Another on 23 October, 1961",0,2,2,7
249146,"Rao Narain Singh (Dead) By L.Rs vs Union Of India on 6 April, 1993",0,2,1,0
948743,"Gullapalli Nageswara Rao And Others vs Andhra Pradesh State Road ... on 5 November, 1958",0,2,5,10
1799890,The State Trading Corporation Of India vs The Commercial Tax Officer on 26 July 1963,0,2,2,15
913722,"Godavari Sugar Mills Ltd. And Ors vs S. B. Kamble And Ors on 7 March, 1975",0,2,6,1
621247,"Kishan Chand Arora vs Commissioner Of Police, Calcutta on 9 December, 1960",0,2,4,1
38328,"State Of Jammu & Kashmir And Others vs Thakur Ganga Singh And Another on 26 November, 1959",0,2,1,3
732598,Vaishanava Dass And Ors vs Faqir Chand And Ors on 7 April 1967,0,2,2,0
106678170,"The State Of Kerala vs Moushmi Ann Jacob on 20 February, 2025",0,2,4,0
79972,"Krishnan Kakkantn vs Government Of Kerala And Ors on 11 October, 1996",0,2,1,0
1672118,"Commissioner Of Income-Tax, Madhya ... vs M/S. Binodiram Balchand, Indore on 16 December, 1969",0,2,1,0
212493,"Industrial Trust Ltd. vs Commissioner Of Income-Tax, Delhi ... on 19 April, 1973",0,2,1,0
175694654,Union Of India Uoi vs Kamlabhai Harjiwandas Parekh And Ors on 7 September 1967,0,2,1,0
1603336,1603336,0,2,10,12
1748256,The Barium Chemicals Ltd And Anr vs The Company Law Board And Others on 4 May 1966,0,2,2,26
493792,Jalan Trading Co Private Ltd vs Mill Mazdoor Union With Connected on 5 August 1966,0,2,1,11
538117,Tata Engineering And Locomotive Co Ltd vs State Of Bihar And Others on 25 February 1964,0,2,7,6
1092564,"The Commissioner Of Income-Tax,Madhya ... vs Sodra Devi(With Connected Appeal) on 17 May, 1957",0,2,3,2
1991497,"Royal Hatcheries Pvt. Ltd vs State Of A.P on 15 October, 1993",0,2,1,0
40472258,"Ram Singh And Ors. vs The State Of Delhi And Anr. on 6 April, 1951",0,2,2,5
405713,"Babulal Amthalal Mehta vs Collector Of Customs Calcutta on 8 May, 1957",0,2,9,0
133595962,Rana Nahid @ Reshma @ Sana vs Sahidul Haq Chisti,0,2,4,0
60443377,"Bombay Dyeing &Manufacturing; Co., Ltd vs The State Of Bombay And Others on 20 December, 1957",0,2,3,0
503795,Sree Bank Ltd vs Sarkar Dutt Roy And Co on 9 April 1965,0,2,1,0
82588,M S West Ramnad Electric Distribution vs State Of Madras on 2 May 1962,0,2,2,8
100291026,"Rustom Cavasjee Cooper vs Union Of India (Uoi) on 10 February, 1970",0,2,25,0
973363,"The State Of West Bengal vs Subodh Gopal Bose And Others on 17 December, 1953",0,2,3,40
570453,"Deep Chand vs The State Of Uttar Pradeshand ... on 15 January, 1959",0,2,7,22
1683423,"Behram Khurshed Pesikaka vs The State Of Bombay.Reference Under ... on 19 February, 1954",0,2,2,10
981675,"Bidi Supply Co vs The Union Of India And Others on 20 March, 1956",0,2,4,15
681436,"The State Of Gujarat And Another vs Shri Ambica Mills Ltd., Ahmedabad, Etc on 26 March, 1974",0,2,7,9
1157189,"Express Newspapers (Private) Ltd.,And ... vs The Union Of India And Others(And ... on 8 January, 1958",0,2,16,18
958208,"State Of Mysore & Anr vs D. Achiah Chetty Etc on 11 December, 1968",0,2,0,3
83318,"The State Of Uttar Pradeshand Others vs H. H. Maharaja Brijendra Singh on 26 August, 1960",0,2,1,0
41868,"The State Of Bihar vs Maharajadhiraja Sir Kameshwar Singhof ... on 27 May, 1952",0,2,2,47
1214330,"Damyanti Naranga vs The Union Of India And Others on 23 February, 1971",0,2,2,5
101366341,Board Of Control For Cricket vs Cricket Aasociation Of Bihar & Ors,0,2,6,0
554839,"State Of Madras vs V.G. Row.Union Of India & State ... on 31 March, 1952",0,2,0,54
624810,"Zamindar Of Ettayapuram vs The State Of Madras.(And Connected ... on 5 February, 1954",0,2,1,0
1544809,"Mithilesh Garg Etc. Etc vs Union Of India And Ors. Etc. Etc on 22 November, 1991",0,2,1,0
1683667,"Pandit Ram Narain vs The State Of Uttar Pradesh Andothers on 20 September, 1956",0,2,0,4
1558985,"Azimunissa And Others vs The Deputy Custodian, Evacuee ... on 26 October, 1960",0,2,1,0
97306350,"Vishal Shah vs Monalisha Gupta on 20 February, 2025",0,2,1,0
65086207,"Pattali Makkal Katchi vs A. Mayilerumperumal on 31 March, 2022",0,2,23,0
913340,"Jai Prakash And Others vs Union Of India on 19 March, 1997",0,2,1,0
244168,"Delhi Cloth & General Mills Company Ltd. ... vs Rajasthan State Electricity Board & Anr on 12 March, 1986",0,2,2,1
1973405,"Kerala S.M.T.Fed vs Kerala T.B.O. Assn on 23 June, 1994",0,2,1,0
283660,"Saghir Ahmad vs The State Of U. P. And Others.(With ... on 13 October, 1954",0,2,3,27
