source,target
1012429,187599
1012429,1981550
1012429,501269
1950151,508541
1950151,257742
1950151,1805377
1645313,1372811
1645313,1185650
1645313,1389247
1645313,1142726
1645313,1607096
1645313,1102942
1645313,140906
1645313,475568
913776,1984005
913776,1729355
913776,1417015
913776,1890578
913776,503716
913776,1921095
913776,196578
537600,1300646
537600,381270
105132,510078
105132,1729355
105132,823347
1633194,1080550
1633194,717533
1633194,1364440
1633194,887899
1633194,1655654
53020,391668
53020,993822
1631077,1268660
1631077,645501
1631077,900770
911704,475886
911704,627113
911704,559234
911704,1152159
1429485,554101
894748,568069
894748,236551
894748,1512358
894748,685234
303515,463201
560260,1586690
1576124,1750663
1576124,841670
25576,1743548
25576,1048929
25576,853652
25576,1300788
25576,473527
25576,1466622
25576,701219
25576,1620986
1748256,693505
1748256,1799890
503166,12637
503166,768449
1615015,1253259
1615015,1209948
1615015,313531
1615015,37505817
1615015,901221
1615015,499048
908845,651749
908845,1799240
908845,1971450
908845,1198302
523719,1600887
523719,730794
523719,1645751
523719,1036851
523719,1859805
124004,1024161
124004,1961694
124004,318186
124004,823952
923000,1719430
82038,1719430
82038,117334
679175,600234
679175,1718426
1934515,656488
1934515,1074998
1934515,1076387
1934515,1531171
1934515,1725451
1934515,1666113
1934515,1640523
1934515,1255770
1484702,1262724
554517,1157189
554517,319375
554517,1083046
554517,1726094
554517,1073913
554517,1838404
554517,1157179
554517,137581
840916,211332
840916,290317
1172544,1441920
1172544,1834730
1172544,580886
1172544,1233360
1172544,373863
1172544,911769
1172544,466569
1172544,229072
1172544,556192
193640840,1669028
193640840,1803759
358208,1627616
358208,444367
358208,1011716
1798885,831213
1798885,1065786
648722,963833
648722,1512520
648722,127231
648722,204623
368738,61160
368738,1411268
368738,711652
368738,771559
368738,1089758
612395,866820
612395,1290730
249290,695786
249290,204623
249290,1535888
1586692,360072
1586692,236551
1586692,290317
1586692,840916
1586692,154763
853943,299006
853943,1947692
820970,677318
782709,1530339
782709,84946
313985,1469644
313985,15266
313985,1500746
313985,1692651
313985,1992675
313985,1859388
1783260,1377335
1783260,1802788
486473,288409
486473,779873
486473,1031512
486473,919671
486473,987517
486473,1425329
866160,1476584
866160,1432437
866160,514871
281263,249292
281263,1159126
802307,1606165
802307,956728
802307,1706401
802307,1003128
802307,949366
1224032,1166174
1224032,554839
1647134,769595
1647134,791685
1647134,695434
1647134,1671494
1575591,1604881
1575591,616263
1889659,1719430
1889659,1679568
1889659,837560
1889659,326839
1701960,711457
1404892,1719918
1404892,1348834
1404892,1544995
1404892,1900825
97203,996065
97203,244172
97203,678245
885224,44352
885224,107472
885224,407809
885224,1166220
885224,1590667
885224,681855
329030,748727
329030,453430
1393387,906849
502707,460257
502707,118205
502707,654130
502707,1691615
502707,990120
502707,46889
502707,77162
502707,1718489
140352,1428489
140352,747247
140352,959234
140352,1251841
140352,260326
1549889,774809
1549889,1896078
1549889,1787992
1549889,1419488
155129359,1986314
514087,1986314
1412579,1156833
190579,306823
190579,458323
190579,47721
190579,1595047
1003616,277312
1336334,1842270
1336334,1976487
1336334,1166981
1479705,1046645
1479705,1949908
1479705,298089
1224515,473778
316117,1530900
316117,938643
201802,290317
201802,1195125
201802,770702
201802,127987
352854,152211
352854,1623923
352854,1116381
352854,459058
352854,635142
352854,286667
352854,473527
634553,40121
634553,660091
634553,1147722
634553,850763
634553,313805
591742,446739
591742,738792
591742,476355
591742,915818
1133248,41868
1740259,1113126
1740259,649928
743042,1127283
743042,224976
743042,1628256
1345052,1502244
1539874,320485
1539874,581568
1747577,619152
1747577,1274822
1747577,1289554
1747577,1448452
1747577,1548725
1747577,1777139
1747577,1857950
1579692,1785601
1579692,1733637
1579692,621517
1579692,1202078
587565,1172174
587565,823328
371597,737050
1305048,235872
1305048,172133
1305048,1313981
1305048,1667142
1625376,781706
1316139,1765956
1316139,1199558
766560,1318432
1242384,1492073
1242384,1686245
1242384,1811118
1242384,240499
1242384,1922997
1242384,841353
1918239,1890797
1544420,1133533
1544420,1385734
313764,468790
313764,976045
913336,1803759
913336,1669028
913336,1296326
1303666,1490639
1303666,290317
1303666,1523242
1303666,127987
1303666,104057
674949,573838
674949,1273982
674949,1022884
58461,1070258
1882267,561287
1882267,1880129
1882267,466670
160697608,1743548
160697608,1048929
160697608,25576
160697608,1928017
160697608,1948248
160697608,561287
175694654,1712166
175694654,1634289
175694654,1681028
175694654,284968
175694654,82588
544641,1743548
544641,1048929
544641,1948248
544641,25576
1220466,1712166
1220466,1681028
1220466,1634289
1220466,82588
1220466,284968
377699,1154741
377699,641763
377699,638163
377699,799114
377699,1270365
377699,443455
377699,616263
377699,674431
377699,1606376
377699,1552386
377699,1715670
377699,1711188
377699,1487546
732598,1212009
732598,1748256
320488,1113126
378895,1624880
378895,1782678
378895,618193
378895,395248
1401948,1886356
1401948,839441
1401948,715570
1401948,1136517
44591,1634289
44591,1266374
44591,1890860
1963535,258864
1963535,148933
1963535,948679
1963535,12663
1963535,587965
948679,258864
948679,587965
948679,132533
948679,12663
948679,586137
1729819,309605
1729819,1704346
876733,51118033
876733,1555049
876733,1069342
876733,214713
876733,98066
876733,1646952
876733,478904
1284541,1396150
1284541,575025
1284541,735912
1753403,606955
1753403,166965
1753403,1070258
1961477,1839963
1293027,1719669
745843,1696785
1060049,1173428
1060049,1652416
969606,1719669
1113333,748727
1113333,322429
1113333,1746634
1113333,1664497
1421533,69906
1421533,594765
1421533,42601
1421533,1194805
1421533,1562178
1275816,1579692
1985369,771452
92021,1083046
92021,734117
92021,319375
92021,554517
92021,1930095
92021,576659
92021,451994
92021,1781027
92021,964857
92021,117749
92021,1740565
92021,1224577
92021,1591322
92021,1936107
660623,655045
273497,214581
273497,811397
273497,158213
273497,207944
456043,1202078
1917909,1320443
1917909,1107536
1107638,177799
299569,1559646
1027793,1372811
1027793,1950023
1075586,823328
1075586,1815866
1075586,180585
1226968,1051710
1841956,1948636
1841956,793126
1841956,476355
1841956,992500
1998048,665792
1998048,1475759
1998048,1769227
1998048,1252531
1998048,313764
1998048,468790
960821,781649
960821,712538
960821,1459512
960821,572125
960821,854739
960821,1111640
960821,598003
12652544,1659001
12652544,1697169
12652544,7685
12652544,997663
12652544,701027
1644913,1697169
1644913,7685
1644913,701027
1644913,1659001
1644913,1999566
1179684,1549889
1179684,774809
1179684,1847925
1261419,1761274
549230,964857
549230,468790
549230,1475759
549230,313764
549230,734117
549230,1182811
663930,1009966
663930,1022319
663930,1802788
663930,1020304
663930,752151
663930,676440
663930,304358
739258,295461
756319,374494
1873661,374494
1997108,799469
1997108,1524064
1675460,1108934
1675460,655045
1675460,1615523
1675460,526446
1675460,925268
43751499,1882779
451064,1882779
377649,1430396
1698089,1892126
1698089,1108235
1698089,1751793
167518,1122405
167518,888803
80637,166975
80637,1871405
80637,886446
80637,419642
80637,722178
80637,576659
94540,1302397
1342109,599701
989283,494775
1622502,620387
1417510,1355522
1417510,1526534
1417510,1340429
1417510,883586
1417510,797174
1417510,1231443
1417510,1860804
441001,1920309
441001,29110
441001,506712
441001,1966385
441001,1924531
441001,438234
441001,1294056
1679483,897386
1679483,781706
1679483,735912
579475,133633
579475,894227
579475,1811127
579475,1546274
579475,1291473
579475,477550
266438,164119
266438,861817
266438,557423
266438,1784892
972270,610132
1226927,890456
1226927,530481
1226927,1186330
1226927,277403
1783454,1925956
956457,858208
956457,1890392
956457,395248
956457,1385203
956457,1959233
986468,1008845
986468,1970830
986468,1954356
986468,1074998
986468,290962
986468,1629479
986468,1455346
806101,1362652
806101,1223908
806101,813679
806101,404340
806101,634085
1319777,26242
1319777,230091
979304,515323
979304,1872590
979304,1907896
979304,106689
979304,91098237
979304,392816
979304,1878658
979304,701797
979304,785969
979304,406756
979304,3482533
998380,882644
998380,1446285
998380,515323
998380,1629541
998380,235516
998380,392816
998380,1345438
998380,1578099
998380,481866
998380,333236
998380,1898852
108063005,34627769
108063005,16384007
108063005,120212999
108063005,75542136
108063005,621703
108063005,20515342
108063005,192719994
108063005,111925390
108063005,10819484
108063005,52056696
108063005,161831507
108063005,193334482
108063005,45401046
108063005,160697763
108063005,63680568
108063005,27608000
108063005,66841796
108063005,953835
108063005,445276
108063005,1031309
108063005,1953529
108063005,1569253
108063005,154550360
108063005,967463
108063005,12704
108063005,854390
108063005,1886363
108063005,509223
108063005,141360757
108063005,108006076
108063005,916239
108063005,891090
108063005,23411
108063005,2652186
108063005,308396
108063005,814524
108063005,1969991
108063005,141172420
108063005,862299
108063005,1664246
108063005,35641423
108063005,168639435
108063005,14134
108063005,1776469
108063005,1396751
108063005,207318
108063005,968992
108063005,160137147
108063005,47291765
108063005,1409324
108063005,1075225
108063005,8438375
108063005,129814618
108063005,94805675
108063005,96494
108063005,1229833
108063005,244267
108063005,134990
108063005,665535
1154820,171398
1154820,1456610
1154820,191756215
1154820,243421
1154820,1856144
1154820,941074
1359052,445276
1359052,1569253
1359052,4377279
1359052,34627769
1359052,1317063
1359052,1466184
1359052,75542136
1359052,621703
1359052,20515342
1359052,1328629
1359052,1745798
1359052,129814618
1359052,119815848
1359052,16384007
1359052,120212999
1359052,192719994
1359052,154328389
1359052,151469296
1359052,111925390
