case,year,link,downloaded file
Gaya_Electric_Supply_Co_Ltd_vs_The_State_Of_Bihar_on_3_February_1953,1953,http://indiankanoon.org/doc/354758/,https://drive.google.com/file/d/15BNuA8nid4JQ9meZY86qxtLy6mw3Bdby/view
Gopal_Krishnaji_Ketkar_vs_Mahomed_Jaffar_Mohamed_Hussein_And_Anr_on_22_May_1953,1953,http://indiankanoon.org/doc/1533893/,https://drive.google.com/file/d/1vOFyuUKweflbDhKNCTmnELA2hfM-Kn4W/view
Habeeb_Mohammad_vs_The_State_Of_Hyderabad_on_5_October_1953,1953,http://indiankanoon.org/doc/1249510/,https://drive.google.com/file/d/1I6M_RvbR8lNN5DiPL5wtfbXFPyKfwyMJ/view
K_Damodaran_vs_The_State_Of_Travancore_Cochin_on_20_March_1953,1953,http://indiankanoon.org/doc/888052/,https://drive.google.com/file/d/1zZZDmANzmVvHgYGl50g2SzLnMg4kwXJG/view
K_M_S_Lakshmanier_And_Sons_vs_Commissioner_Of_Income_Tax_And_Excess_on_23_January_1953,1953,http://indiankanoon.org/doc/1904485/,https://drive.google.com/file/d/1TO1cor49LZgUxB9dpSQdMmNCLQcmh0f8/view
Kalipada_Chakraborti_And_Another_vs_Palani_Bala_Devi_And_Others_on_16_January_1953,1953,http://indiankanoon.org/doc/481866/,https://drive.google.com/file/d/174ymyK4mIMCHfh_z38OSpvxWrTZxkq0r/view
Kura_And_Anr_vs_Jag_Ram_And_Ors_on_14_October_1953,1953,http://indiankanoon.org/doc/806541/,https://drive.google.com/file/d/1GLCy3b2Z1EUv-YMYWVcIutS-aq7LrOEI/view
Lala_Durga_Prasad_And_Another_vs_Lala_Deep_Chand_And_Others_on_18_November_1953,1953,http://indiankanoon.org/doc/752687/,https://drive.google.com/file/d/1dwyrGUv958VNTxQXKOMwdO1V-h4AfUva/view
Maqbool_Hussain_vs_The_State_Of_Bombay_Jagjit_Singhv_The_on_17_April_1953,1953,http://indiankanoon.org/doc/1815080/,https://drive.google.com/file/d/1yn0x2bT35TkFoXE7yGi0LNPiQnfiFzLb/view
Mathalone_vs_Bombay_Life_Assurance_Co_Ltd_Pingle_on_19_May_1953,1953,http://indiankanoon.org/doc/500329/,https://drive.google.com/file/d/1g9svnKcntnbtqamDHGTO3cDTPHgyWEyz/view
Motipur_Zamindari_Co_Ltd_vs_The_State_Of_Bihar_And_Another_Raja_on_17_April_1953,1953,http://indiankanoon.org/doc/251861/,https://drive.google.com/file/d/1O3tvh3kxmqTPz6FjWm1z_DTgD5iN3H7z/view
