rank,term,doc_freq,raw_freq,adj_freq,nonambiguous,informative,type,topic,role,notes,example
111,award,20,203,152,0,non-informative,,LAND-ACQUISITION,,,Public discontent over the alleged high price charged was expressed and eventually the dispute was referred to the sole arbitration of Dr. V.K.R.V. Rao who gave his award.
112,mind,43,161,150,0,non-informative,ASPECT,,,,The accused who subsequently rushed towards the spot with firearms in their hands cannot be said to have gone with any common intention because there was hardly any time with them of meeting of minds.
113,partner,11,169,150,0,non-informative,,,,,"Author: A.M. Ahmadi Bench: A.M. Ahmadi, M.M. Punchhi, K. Ramaswamy S.V. CHANDRA PANDIAN AND Vs. S.V. SIVALINGA NADAR AND DATE OF JUDGMENT11/01/1993 AHMADI, A.M. (J) AHMADI, A.M. (J) PUNCHHI, M.M. RAMASWAMY, K. CITATION: 1993 (1) 58 1993 (1)"
114,proviso,24,156,146,1,informative,STATUTE-PROVISION,,RULE,,The proviso to Section 14(1)(e) of the Act which lays down that the setting up of industries to be run with the aid of gas was not to be undertaken by the Oil and Natural Gas Commission without the Central Government's approval also gives a
115,context,42,169,145,0,non-informative,ASPECT,,,,"In the impugned judgment, while declining to exercise its inherent powers, the High Court observed as under: ""In this context, I may again reiterate that the acts relating to demand or subjecting to cruelty, as per the complaint petition, h"
116,direction,43,182,144,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,The members of second party armed with firearms may have come from the same direction to the place of occurrence on hearing a commotion created due to fight between members of party No. 1 on one part and the members of the deceased party on
117,central government,17,144,144,1,informative,FORUM-AUTHORITY,,ACTOR,,"Functions of the Commission-- (1) Subject to the provisions of this Act, the functions of the Commission shall generally be to plan, promote, organise and implement programmes for the development of petroleum resources and the production an"
118,finding,50,208,143,0,non-informative,ASPECT,,,,the appellant primarily challenged the finding of the High Court that the ONGC was a 'public utility undertaking' which was bound to supply gas at the request of any member of the public at large.
119,use,40,199,143,0,non-informative,ASPECT,,,,"The three injuries as are found on his person in injury report on examination by Dr. Varinderjit Singh PW7 which include contusions and abrasions, are likely to have been caused by use of some blunt object."
120,notice,61,231,142,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"If any abuse of the process leading to injustice is brought to the notice of the court, then the Court would be justified in preventing injustice by invoking inherent powers in absence of specific provisions in the Statute."
121,appointment,17,156,141,0,non-informative,,,,,This is inconsistent with the concept of a Wakf The appointment of non-Muslims as trustees is indicative of the fact that a Wakf was not intended.
122,benefit,54,179,140,0,non-informative,ASPECT,,,,"In the above state of evidence which is not clinching against the accused, the conclusion of the High Court that the three acquitted accused are entitled to have the benefit of doubt cannot be said to be a wrong appreciation of evidence or "
123,december,33,142,140,0,non-informative,TEMPORAL,,,,"Between April 1971 and December 1975, the well-head price was increased and fixed at Rs.66 per unit, we are all told, on the intervention of the then Gujarat Governor."
124,june,26,140,140,0,non-informative,TEMPORAL,,,,"As is clear from the record, even after the disposal of previous proceeding in civil suit as well as in appeal qua defendant-Bhagwandas, the plaintiff-Ramadhar issued a notice to the defendant on June 03, 1991, by registered AD."
125,bihar,19,144,140,0,non-informative,,,,,"Hari Sao And vs State Of Bihar on 15 October, 1969 COURT 843, , 1970 MADLW (CRI) 186, 1970 MADLW (CRI) 146, 1970 SCD 233,"
126,district magistrate,8,140,140,1,informative,FORUM-AUTHORITY,,ACTOR,,Second; the fact that the Police arrests a person and later on enlarges him on bail and initiates steps to prosecute him under the Code of Criminal Procedure and even lodges a first information report may be no bar against the District Magi
127,argument,51,169,138,0,non-informative,ASPECT,,,,"If the argument that the ONGC is a public utility is accepted, then the first consequence to follow will be that gas should be made available by it to all persons who need it for use."
128,course,51,166,138,0,non-informative,ASPECT,,,,"As per the defence taken by accused Vicky in the course of cross-examination of eyewitnesses and his statement under Section 313 Cr.P.C., he was present at the place of occurrence."
129,day,50,166,138,0,non-informative,TEMPORAL,,,,"It is also a matter of common knowledge that in cases filed by the complainant if the husband or the husband's relations had to remain in jail even for a few days, it would ruin the chances of amicable settlement altogether."
130,supreme court,42,137,137,1,informative,FORUM-AUTHORITY,,ACTOR,,"3 0 4 0 , 2 0 0 2 ( 2 ) A L D ( C R I ) 4 2 0 , 2002(1)ALT(CRI)227, 2002(3)CRIMES158(SC), )SC123, , , [2002]SUPP1SCR581, SUPREME COURT 3040, , 2002 SCW 3393, (2002) 2"
131,document,37,229,136,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,The defendants contended that neither K.S. Setlur nor Shyamala Raju were in possession in 1946 and that documents of allotment were fictitious and never acted upon.
132,july,32,135,135,0,non-informative,TEMPORAL,,,,"In July 1967, the supply of gas to some of the industries in and around Vadodara city was started, on the basis of individual annual contracts."
133,action,53,241,133,0,non-informative,ASPECT,,,,"Sharaful Haque & Another observed thus:- ""It would be an abuse of process of the court to allow any action which would result in injustice and prevent promotion of justice."
134,country,29,175,133,1,informative,JURISDICTION-PLACE,,EVIDENCE,,It is a matter of common knowledge that unfortunately matrimonial litigation is rapidly increasing in our country.
