rank,entity,count,doc_freq,ent_type,std_name,role,topic,nonambiguous,informative,notes,example
92,limitation act,44,3,EVENT,Limitation Act,PROCEDURAL,PROCEDURE-REMEDY,1,informative,,"This question has never been conclusively decided and even if one is to proceed on the basis that Shyamala Raju was a tenant of K.S. Setlur, will the tenant's possession be taken into account in calculating the period of twelve years under "
93,bhagwandas,44,1,GPE,Bhagwandas,EVIDENCE,,1,informative,,"Ramadhar Shrivas vs Bhagwandas on 27 October, 2005 JAB LJ 1, , (2006) 1 ALL WC 150, , (2006) 62 ALL LR 360, (2005) 4 REC CIV R 793, (2006) 1 ICC 761, (2005) 2 REN CR 584, (2006) 1 CIVIL COURT CASE 450, , , (2005) 8 SUPREME 8, (2006) 37"
94,mathruka,44,1,PERSON,Mathruka,ACTOR,,1,informative,,"In Para 2 of the General Orders of the Farman, he directed that “whatever property had hitherto been acquired or articles purchased or buildings constructed out of the income of the Paigahs will be considered the property of the Paigahs and"
95,rs,43,16,PERSON,Rs,ACTOR,,1,informative,,"44.448.20 debited to the account of 'wire and strip' and credited to the 'wire and strip Gift Account' and Rs. 30,000 debited to the account of 'Semi-processed needles' and credited to the 'Semi-processed Needles Gift Account'."
96,cpc,43,8,ORG,Cpc,ACTOR,,1,informative,,"This civil appeal arises out of judgment and decree rendered by Karnataka High Court on 22.3.1999 filed under section 96 CPC against judgment and decree dated 11.10.1996 passed in O.S. No. 3656/81 on the file of City Civil Judge, Bangalore,"
97,hyderabad,42,6,GPE,Hyderabad,EVIDENCE,,1,informative,,"The appellants were appointed trustees by the Nizam of Hyderabad by a trust deed executed on Tune 14, 1951."
98,central act,42,4,LAW,Central Act,RULE,,1,informative,,"As a result of this provision the interest of all evacuees which had vested in the Custodian appointed under the Punjab Act 14 of 1947, came to be vested in the Custodian appointed under the Central Act of 1950."
99,veer gurjar aluminium industries pvt,42,1,ORG,Veer Gurjar Aluminium Industries Pvt,,,0,non-informative,,"Babulal Vardharji Gurjar vs Veer Gurjar Aluminium Industries Pvt ... on 14 August, 2020"
100,jammu,41,5,GPE,Jammu,EVIDENCE,,1,informative,,"R.D. Shetty v. The International Airport Authority of India JUDGMENT: State of Jammu and Kashmir & , [1980] 3 ; Fertilizer Corporation Kamagar Union v. Union of India, ; Ram and Shyam Company v. State of Haryana & ,"
101,harendra rai,41,1,PERSON,Harendra Rai,ACTOR,,1,informative,,"Harendra Rai vs The State Of Bihar on 18 August, 2023"
102,legislature,40,14,ORG,Legislature,ACTOR,,1,informative,,That assent can not avail the State Government for the purpose of according precedence to the law made by the Legislature namely the Punjab Act of 1953 over the law made by the Parliament namely the Central Act of 1950 even within the juris
103,punjab act,40,1,LAW,Punjab Act,RULE,,1,informative,,The Punjab Act was reserved for the assent of the President though for the specific and limited purpose of Articles 31 and 31-A of the Constitution.
104,wage board,40,1,ORG,Wage Board,ACTOR,,1,informative,,On issue No. IA the Tribunal held that categorisation of workers and their fitments and work load should be in accordance with the recommendations of the Wage Board; it decided in favour of the management in respect of certain categories of
105,central electricity regulatory,40,1,ORG,Central Electricity Regulatory,ACTOR,,1,informative,,"Energy Watchdog vs Central Electricity Regulatory ... on 11 April, 2017 WC 2692, (2017) 3 CAL HN 146, (2017) 2 CURCC 178,"
106,harjit,39,1,ORG,Harjit,ACTOR,,1,informative,,Harjit Singh
107,energy watchdog,39,1,ORG,Energy Watchdog,ACTOR,,1,informative,,"Energy Watchdog vs Central Electricity Regulatory ... on 11 April, 2017 WC 2692, (2017) 3 CAL HN 146, (2017) 2 CURCC 178,"
108,kudankulam,39,1,ORG,Kudankulam,ACTOR,,1,informative,,"We are in these appeals concerned with an issue of considerable national and international importance, pertaining to the setting up of a nuclear power plant in the South-Eastern tip of India, at Kudankulam in the State of Tamil Nadu."
109,patna,38,9,GPE,Patna,EVIDENCE,,1,informative,,This appeal by special leave is from a judgment and order of the High Court of Patna upholding the conviction of the two appellants under s. 420 I.P.C. read with S. 34 but reducing the sentence of imprisonment on each of them by awarding ri
110,muslim,38,5,NORP,Muslim,ACTOR,,1,informative,,"There were some villages in Punjab which were mostly inhabited by Muslims, with the result that almost all the lands in those villages were owned by Muslim proprietors who, as a result of their proprietary interest in those Lands had a prop"
111,insurance company,38,3,ORG,Insurance Company,ACTOR,,1,informative,,"No doubt, it would have been better if the Bank and the insured had given at least one tripartite agreement to the Insurance Company but, in our view, in the peculiar facts of this case, not disclosing the tripartite agreement or the names "
112,article 16,38,2,LAW,Article 16,RULE,CONSTITUTIONAL,1,informative,,Reservation set out under Article 16 should not exceed the limit of 50%.
113,association of natural gas consuming,38,1,ORG,Association Of Natural Gas Consuming,ACTOR,,1,informative,,"Oil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 COURT 1851, 1991 SCW 1900, 1990 (SUPP) 397, (2001) 2 UC 270, (1990) 2 COMLJ 89, (SC) Bench: N.D. Ojha, Jagdish Saran Verma OIL AND NATURAL GAS COM"
114,section 171,37,2,LAW,Section 171,RULE,,1,informative,,"The definition there is more or less in the same language as in Section 171-C of the Indian Penal Code except that the words ""direct or indirect"" have been added to indicate the nature of interference."
115,aerb,37,1,ORG,Aerb,ACTOR,,1,informative,,"KKNPP has been set up by NPCIL based on the Indo-Russia Joint Agreement under the guidance and supervision of AEC, BARC, AERB, MoEF, TNPCB, Central and State Governments etc. ARGUMENTS – FOR AND AGAINST 16."
116,maharashtra,36,11,NORP,Maharashtra,ACTOR,,1,informative,,"This appeal has been filed by Preeti Gupta the married sister-in-law and a permanent resident of Navasari, Surat, Gujarat with her husband and Gaurav Poddar, a permanent resident of Goregaon, Maharashtra, who is the unmarried brother-in-law"
117,state of maharashtra,36,3,ORG,State Of Maharashtra,ACTOR,,1,informative,,"In Madhu Limaye v. The State of Maharashtra , a three-Judge Bench of this court held as under:- ""....."
118,venkatarama,36,1,ORG,Venkatarama,ACTOR,,1,informative,,"Appeal (civil)#Appeal (civil) 4051 of 1996#1996#M/s Pepsi Foods Limited #Collector of Central Excise, Chandigarh #2003-11-25#25622#4051#P. VENKATARAMA REDDI#Dr."
119,u.o.i,36,1,GPE,U.O.I,,,0,non-informative,,"Centre For Public Interest Litigation vs U.O.I on 23 February, Author: Adarsh Kumar Goel Bench: Uday Umesh Lalit, Adarsh Kumar Goel REPORTABL IN THE SUPREME COURT OF INDIA CIVIL APPELLATE/"
120,crz,36,1,ORG,Crz,ACTOR,,1,informative,,"KKNPP, it was submitted, is located within 500 metres of HTL and therefore was a prohibited activity under CRZ notification 1991."
121,england,35,15,GPE,England,EVIDENCE,,1,informative,,"Thus, for example, in England the Public Health Act, 1936, the Electricity Act, 1947 and the Gas Act, 1948 provide examples of a duty cast on suppliers of water, electricity or gas."
122,section 7,35,6,LAW,Section 7,RULE,,1,informative,,"The respondent's appeal to the Additional District Judge was rejected, but the Punjab High Court at Delhi allowed his writ petition on the ground that section 7 could not be availed in case of time barred claims."
123,presidential order,35,2,ORG,Presidential Order,ACTOR,,1,informative,,"The first respondent Mr. Justice S.H. Sheth, who was a Judge of the Gujarat High Court since 23rd April, 1969, was, by a Presidential Order dated 27th May, 1976, transferred ""as Judge of the Union Of India (Uoi) vs Sankalchand Himatlal Shet"
124,shirinbai,35,1,PERSON,Shirinbai,ACTOR,,1,informative,,The will was attested by two witnesses one of whom was the husband of Mrs. Shirinbai.
125,supreme court of india,34,31,ORG,Supreme Court Of India,ACTOR,,1,informative,,"Author: Dalveer Bhandari Bench: K.S. Radhakrishnan, Dalveer Bhandari REPORTABLE IN THE SUPREME COURT OF INDIA CRIMINAL APPELLATE JURISDICTION"
126,courts,34,15,ORG,Courts,ACTOR,,1,informative,,"According to the Detaining Authority, the appellantdetenue, when he was 30 years old, started his career in criminal field by committing offences like murder, attempt to murder, dacoity, rioting, assault, damaging the public property, provo"
127,calcutta,34,11,GPE,Calcutta,EVIDENCE,,1,informative,,"On the production of a forwarding note for booking a consignment of dry chillies to Calcutta, a railway wagon was allotted to the appellants who loaded it without any help from any railway employee."
128,award,34,5,ORG,Award,ACTOR,LAND-ACQUISITION,1,informative,,it was almost impossible to work out the cost in respect of any particular area or of a particular bye-product; (iv) the cost plus basis was fixed by the Award several years ago and that too in the context of supply to certain State underta
129,rent controller,34,5,ORG,Rent Controller,ACTOR,TENANCY-LEASE,1,informative,,"Later, the allottees, including the respondent, applied to the Rent Controller for reducing the rent."
130,pepsi foods limited,34,1,ORG,Pepsi Foods Limited,ACTOR,,1,informative,,"Appeal (civil)#Appeal (civil) 4051 of 1996#1996#M/s Pepsi Foods Limited #Collector of Central Excise, Chandigarh #2003-11-25#25622#4051#P. VENKATARAMA REDDI#Dr."
131,article 14,33,4,LAW,Article 14,RULE,CONSTITUTIONAL,1,informative,,It is now well settled as a result of the decisions of this Court in E.P. Rayappa v. State of Tamil Nadu and Maneka Gandhi v. Union of India that Article 14 strikes at arbitrariness in State action and ensures fairness and equality of treat
132,seller,33,1,ORG,Seller,ACTOR,,1,informative,,Non-Natural Force Majeure Events: Direct Non-Natural Force Majeure Events Nationalization or compulsory acquisition by any Indian Government Instrumentality or any material assets or rights of the Seller or the Seller’s contractors; or The 
133,rajendra rai,33,1,PERSON,Rajendra Rai,ACTOR,,1,informative,,"Lalmuni Devi, mother of deceased Rajendra Rai abducted ten days before the date fixed for recording her statement."
